step,x,y,z
1396,-49,-1,20
1397,-48,-1,20
1398,-48,-2,20
1399,-48,-3,20
1400,-47,-3,20
1401,-47,-2,20
1402,-46,-2,20
1403,-46,-3,20
1404,-47,-3,20
1405,-48,-3,20
1406,-47,-3,20
1407,-47,-4,20
1408,-48,-4,20
1409,-48,-4,21
1410,-49,-4,21
1411,-49,-5,21
1412,-49,-4,21
1413,-48,-4,21
1414,-48,-4,20
1415,-48,-3,20
1416,-49,-3,20
1417,-49,-2,20
1418,-49,-1,20
1419,-49,0,20
1420,-49,1,20
1421,-49,1,21
1422,-49,2,21
1423,-49,1,21
1424,-50,1,21
1425,-51,1,21
1426,-50,1,21
1427,-50,2,21
1428,-50,2,22
1429,-50,1,22
1430,-49,1,22
1431,-50,1,22
1432,-50,1,23
1433,-50,2,23
1434,-51,2,23
1435,-51,1,23
1436,-51,0,23
1437,-51,1,23
1438,-51,2,23
1439,-50,2,23
1440,-50,2,24
1441,-51,2,24
1442,-51,2,23
1443,-50,2,23
1444,-49,2,23
1445,-49,1,23
1446,-49,1,24
1447,-49,1,23
1448,-49,1,22
1449,-50,1,22
1450,-50,1,21
1451,-50,1,22
1452,-50,1,21
1453,-49,1,21
1454,-50,1,21
1455,-51,1,21
1456,-52,1,21
1457,-53,1,21
1458,-53,0,21
1459,-53,0,22
1460,-52,0,22
1461,-52,0,23
1462,-52,1,23
1463,-52,1,22
1464,-53,1,22
1465,-53,1,21
1466,-54,1,21
1467,-54,1,22
1468,-54,1,23
