generation,path_1
1976,110.637
1977,110.637
1978,110.637
1979,110.637
1980,110.637
1981,110.637
1982,110.637
1983,110.637
1984,110.637
1985,110.637
1986,110.637
1987,110.797
1988,110.797
1989,110.797
1990,110.797
1991,110.797
1992,110.797
1993,110.797
1994,110.797
1995,110.797
1996,110.797
1997,110.797
1998,110.797
1999,110.797
2000,110.797
2001,110.797
2002,110.797
2003,110.797
2004,110.797
2005,110.797
2006,110.797
2007,110.797
2008,110.797
2009,110.797
2010,110.797
2011,110.797
2012,110.797
2013,110.797
2014,110.797
2015,110.797
2016,110.797
2017,108.691
2018,108.691
2019,108.691
2020,108.691
2021,108.691
2022,108.691
2023,108.691
2024,108.691
2025,108.691
2026,108.691
2027,108.691
2028,108.691
2029,108.691
2030,108.691
2031,108.691
2032,108.691
2033,108.691
2034,108.717
2035,108.717
2036,108.717
2037,108.717
2038,108.717
2039,108.717
2040,108.717
2041,108.717
2042,108.717
2043,108.717
2044,108.717
2045,108.717
2046,108.717
2047,108.717
2048,108.717
2049,108.725
2050,108.725
2051,108.725
2052,108.725
2053,108.725
2054,108.725
2055,108.725
2056,108.725
2057,108.725
2058,108.725
2059,108.725
2060,108.725
2061,108.725
2062,108.725
2063,108.725
2064,108.725
2065,108.725
2066,108.725
2067,108.725
2068,108.725
2069,108.725
2070,108.725
2071,108.725
2072,108.725
2073,108.725
2074,108.725
2075,108.725
2076,108.726
2077,108.726
2078,108.726
2079,108.726
2080,108.726
2081,108.726
2082,108.726
2083,108.726
2084,108.726
2085,108.726
2086,108.726
2087,108.726
2088,108.726
2089,108.726
2090,108.726
2091,108.726
2092,108.726
2093,108.726
2094,108.726
2095,108.726
2096,108.726
2097,108.726
2098,108.726
2099,108.726
2100,108.726
2101,108.726
2102,108.726
2103,108.726
2104,108.726
2105,108.726
2106,108.726
2107,108.726
2108,108.726
2109,108.726
2110,108.726
2111,108.726
2112,107.92
2113,107.92
2114,107.92
2115,107.92
2116,107.92
2117,107.92
2118,107.92
2119,107.92
2120,107.92
2121,107.92
2122,108.056
2123,108.056
2124,108.056
2125,108.056
2126,108.056
2127,108.056
2128,108.056
2129,108.056
2130,108.056
2131,108.056
2132,108.056
2133,108.056
2134,108.056
2135,108.056
2136,108.056
